"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,1
2020-02-26,5
2020-02-27,7
2020-02-28,7
2020-02-29,13
2020-03-01,19
2020-03-02,26
2020-03-03,32
2020-03-04,35
2020-03-05,35
2020-03-06,40
2020-03-07,54
2020-03-08,60
2020-03-09,60
2020-03-10,71
2020-03-11,71
2020-03-12,71
2020-03-13,101
2020-03-14,110
2020-03-15,116
2020-03-16,124
2020-03-17,154
2020-03-18,164
2020-03-19,192
2020-03-20,208
2020-03-21,214
